,total_claims,total_30day_fills,total_days_supply,total_drug_cost,event_total
267,55.0,63.0,1890.0,,
268,55.0,63.0,1890.0,,
269,55.0,63.0,1890.0,,
270,55.0,63.0,1890.0,,
271,55.0,63.0,1890.0,,
272,55.0,63.0,1890.0,,
273,55.0,63.0,1890.0,,
274,55.0,63.0,1890.0,,
275,55.0,63.0,1890.0,,
276,55.0,63.0,1890.0,,
277,55.0,63.0,1890.0,,
278,55.0,63.0,1890.0,,
279,55.0,63.0,1890.0,,
280,55.0,63.0,1890.0,,
281,55.0,63.0,1890.0,,
282,55.0,63.0,1890.0,,
283,55.0,63.0,1890.0,,
284,55.0,63.0,1890.0,,
285,55.0,63.0,1890.0,,
286,55.0,63.0,1890.0,,
287,55.0,63.0,1890.0,,
288,55.0,63.0,1890.0,,
289,55.0,63.0,1890.0,,
290,55.0,63.0,1890.0,,
291,55.0,63.0,1890.0,,
292,55.0,63.0,1890.0,,
293,55.0,63.0,1890.0,,
294,55.0,63.0,1890.0,,
295,55.0,63.0,1890.0,,
296,55.0,63.0,1890.0,,
297,55.0,63.0,1890.0,,
298,55.0,63.0,1890.0,,
299,55.0,63.0,1890.0,,
300,55.0,63.0,1890.0,,
301,55.0,63.0,1890.0,,
302,55.0,63.0,1890.0,,
303,55.0,63.0,1890.0,,
304,55.0,63.0,1890.0,,
305,55.0,63.0,1890.0,,
306,55.0,63.0,1890.0,,
307,55.0,63.0,1890.0,,
308,55.0,63.0,1890.0,,
309,55.0,63.0,1890.0,,
310,55.0,63.0,1890.0,,
311,55.0,63.0,1890.0,,
312,,,,,
313,,,,,
314,,,,,
315,,,,,
316,,,,,
317,,,,,
318,,,,,
319,,,,,
320,,,,,
321,,,,,
322,,,,,
323,,,,,
324,,,,,
325,,,,,
326,,,,,
327,,,,,
328,,,,,
329,,,,,
330,,,,,
331,,,,,
332,,,,,
333,,,,,
334,,,,,
335,,,,,
336,,,,,
337,,,,,
338,,,,,
339,,,,,
340,,,,,
341,,,,,
342,,,,,
343,,,,,
344,,,,,
345,,,,,
346,,,,,
347,,,,,
348,,,,,
349,,,,,
350,,,,,
351,54.0,,,,
352,,,,,
353,,,,,
354,,,,,
355,,,,,
356,,,,,
357,,,,,
358,,,,,
359,,,,,
360,,,,,
361,,,,,
362,,,,,
363,,,,,
364,,,,,
365,,,,,
366,82.0,82.0,,,
367,82.0,82.0,,,
368,82.0,82.0,,,
369,82.0,82.0,,,
370,82.0,82.0,,,
371,82.0,82.0,,,
372,82.0,82.0,,,
373,82.0,82.0,,,
374,82.0,82.0,,,
375,82.0,82.0,,,
376,82.0,82.0,,,
377,82.0,82.0,,,
378,82.0,82.0,,,
379,82.0,82.0,,,
380,82.0,82.0,,,
381,82.0,82.0,,,
382,82.0,82.0,,,
383,82.0,82.0,,,
384,82.0,82.0,,,
385,82.0,82.0,,,
386,82.0,82.0,,,
387,82.0,82.0,,,
388,82.0,82.0,,,
389,82.0,82.0,,,
390,82.0,82.0,,,
391,82.0,82.0,,,
392,82.0,82.0,,,
393,82.0,82.0,,,
394,82.0,82.0,,,
395,82.0,82.0,,,
396,82.0,82.0,,,
397,82.0,82.0,,,
398,82.0,82.0,,,
399,82.0,82.0,,,
400,82.0,82.0,,,
401,82.0,82.0,,,
402,82.0,82.0,,,
403,82.0,82.0,,,
404,82.0,82.0,,,
405,82.0,82.0,,,
406,82.0,82.0,,,
407,82.0,82.0,,,
408,82.0,82.0,,,
409,82.0,82.0,,,
410,82.0,82.0,,,
411,82.0,82.0,,,
412,82.0,82.0,,,
413,82.0,82.0,,,
414,82.0,82.0,,,
415,82.0,82.0,,,
416,82.0,82.0,,,
417,82.0,82.0,,,
418,82.0,82.0,,,
